GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SnakeYAML-Fuzzing,org.yaml.snakeyaml.external.biz.base64Coder,Base64Coder,549,0,66,0,99,0,45,0,12,0
SnakeYAML-Fuzzing,org.yaml.snakeyaml.external.com.google.gdata.util.common.base,PercentEscaper,293,213,17,29,55,42,13,16,0,6
SnakeYAML-Fuzzing,org.yaml.snakeyaml.external.com.google.gdata.util.common.base,UnicodeEscaper.new ThreadLocal() {...},0,6,0,0,0,2,0,2,0,2
SnakeYAML-Fuzzing,org.yaml.snakeyaml.external.com.google.gdata.util.common.base,UnicodeEscaper.new Appendable() {...},270,0,32,0,56,0,21,0,5,0
SnakeYAML-Fuzzing,org.yaml.snakeyaml.external.com.google.gdata.util.common.base,UnicodeEscaper,138,164,27,17,23,41,20,10,3,5
SnakeYAML-Fuzzing,org.yaml.snakeyaml.serializer,Serializer,561,0,48,0,120,0,32,0,7,0
SnakeYAML-Fuzzing,org.yaml.snakeyaml.serializer,SerializerException,4,0,0,0,2,0,1,0,1,0
SnakeYAML-Fuzzing,org.yaml.snakeyaml.serializer,NumberAnchorGenerator,32,9,0,0,7,4,1,1,1,1
SnakeYAML-Fuzzing,org.yaml.snakeyaml.scanner,Constant,0,142,0,20,0,25,0,16,0,6
SnakeYAML-Fuzzing,org.yaml.snakeyaml.scanner,SimpleKey,30,39,0,0,1,14,1,7,1,7
SnakeYAML-Fuzzing,org.yaml.snakeyaml.scanner,ScannerException,0,16,0,0,0,4,0,2,0,2
SnakeYAML-Fuzzing,org.yaml.snakeyaml.scanner,ScannerImpl.Chomping,0,34,0,8,0,7,0,8,0,4
SnakeYAML-Fuzzing,org.yaml.snakeyaml.scanner,ScannerImpl,397,3691,70,453,69,814,51,299,4,76
SnakeYAML-Fuzzing,org.yaml.snakeyaml,Yaml.new Iterator() {...},20,0,0,0,4,0,4,0,4,0
SnakeYAML-Fuzzing,org.yaml.snakeyaml,Yaml.new Iterator() {...},30,0,2,0,7,0,5,0,4,0
SnakeYAML-Fuzzing,org.yaml.snakeyaml,Yaml.new Iterator() {...},34,0,4,0,7,0,6,0,4,0
SnakeYAML-Fuzzing,org.yaml.snakeyaml,Yaml,527,122,9,3,109,23,43,4,37,4
SnakeYAML-Fuzzing,org.yaml.snakeyaml,DumperOptions.LineBreak,41,45,4,0,7,5,5,2,3,2
SnakeYAML-Fuzzing,org.yaml.snakeyaml,Yaml.NodeIterable,9,0,0,0,4,0,2,0,2,0
